Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100n","C_1206_3216Metric",162.520000,-64.530000,180.000000,top
"C2","100n","C_1206_3216Metric",175.920000,-70.190000,0.000000,top
"C3","100n","C_1206_3216Metric",172.630000,-81.240000,0.000000,top
"C4","100n","C_1206_3216Metric",163.550000,-67.430000,180.000000,top
"C5","10u","C_1206_3216Metric",162.540000,-62.040000,180.000000,top
"C6","10n","C_1206_3216Metric",160.010000,-74.530000,90.000000,top
"C7","100nF","C_1206_3216Metric",131.770000,-55.150000,180.000000,top
"C8","1u","C_1206_3216Metric",157.620000,-81.010000,90.000000,top
"C9","100n","C_1206_3216Metric",156.620000,-63.150000,90.000000,top
"C10","22pF","C_1206_3216Metric",151.630000,-67.270000,90.000000,top
"C11","22pF","C_1206_3216Metric",151.590000,-72.360000,90.000000,top
"C12","22u","C_1206_3216Metric",195.500000,-55.000000,90.000000,top
"C13","22u","C_1206_3216Metric",199.990000,-49.610000,180.000000,top
"C16","0.1uF","C_1206_3216Metric",175.110000,-53.040000,-90.000000,top
"C17","560pF","C_1206_3216Metric",157.390000,-47.860000,90.000000,top
"C18","560pF","C_1206_3216Metric",156.430000,-57.670000,-90.000000,top
"C19","100nF","C_1206_3216Metric",145.000000,-82.580000,180.000000,top
"C20","100nF","C_1206_3216Metric",137.430000,-55.150000,0.000000,top
"C21","100nF","C_1206_3216Metric",149.830000,-82.600000,0.000000,top
"D1","LED","LED_1206_3216Metric",190.517500,-55.071250,0.000000,top
"D2","LED","LED_1206_3216Metric",199.400000,-86.775000,180.000000,top
"D3","LED","LED_1206_3216Metric",199.420000,-84.260000,180.000000,top
"D4","LED","LED_1206_3216Metric",199.400000,-81.850000,180.000000,top
"D5","LED","LED_1206_3216Metric",199.380000,-89.225000,180.000000,top
"FB1","120R","L_1206_3216Metric",160.320000,-80.960000,-90.000000,top
"J1","USB_C_Receptacle_USB2.0_16P","USB_C_Receptacle_Palconn_UTC16-G",202.700000,-73.500000,90.000000,top
"J2","Conn_01x04_Pin","PinHeader_1x04_P2.54mm_Vertical",190.000000,-65.595000,-90.000000,top
"J3","LORA_USART2_SOCKETS","PinSocket_1x07_P2.54mm_Vertical",173.890000,-86.550000,-90.000000,top
"J4","RJ45","RJ45_Amphenol_RJHSE538X",138.220000,-74.848000,90.000000,top
"R1","10k","R_1206_3216Metric",169.330000,-66.380000,-90.000000,top
"R2","47K","R_1206_3216Metric",160.510000,-58.980000,0.000000,top
"R3","1k5","R_1206_3216Metric",190.575000,-51.650000,0.000000,top
"R4","10K","R_1206_3216Metric",186.820000,-76.800000,-90.000000,top
"R5","1OK","R_1206_3216Metric",181.800000,-76.775000,-90.000000,top
"R6","10K","R_1206_3216Metric",179.200000,-76.772500,-90.000000,top
"R7","20K","R_1206_3216Metric",180.260000,-98.470000,0.000000,top
"R8","20K","R_1206_3216Metric",185.700000,-98.480000,0.000000,top
"R9","120R","R_1206_3216Metric",183.010000,-95.370000,180.000000,top
"R10","5K1","R_1206_3216Metric",197.660000,-76.280000,-90.000000,top
"R11","5K1","R_1206_3216Metric",197.720000,-70.700000,90.000000,top
"R12","100R","R_1206_3216Metric",161.210000,-49.340000,180.000000,top
"R13","100R","R_1206_3216Metric",160.510000,-56.430000,180.000000,top
"R14","120R","R_1206_3216Metric",161.960000,-52.795000,90.000000,top
"R15","120R","C_1206_3216Metric",133.260000,-58.980000,90.000000,top
"R16","120R","C_1206_3216Metric",147.760000,-77.200000,-90.000000,top
"R17","120R","C_1206_3216Metric",135.950000,-58.980000,90.000000,top
"R18","120R","C_1206_3216Metric",150.260000,-77.180000,-90.000000,top
"SW1","SW_SPDT","SW_CK_JS202011CQN_DPDT_Straight",173.830000,-65.645000,90.000000,top
"U1","STM32F103C8T6","LQFP-48_7x7mm_P0.5mm",167.952500,-74.435000,0.000000,top
"U2","AMS1117-3.3","SOT-223-3_TabPin2",201.280000,-55.145000,0.000000,top
"U3","MAX485E","DIP-8_W8.89mm_SMDSocket_LongPads",183.000000,-87.400000,-90.000000,top
"U4","ESDS302DBVR","ESDS302",142.062500,-52.800000,180.000000,top
"U5","USBLC6-2SC6","SOT-23-6",193.840000,-73.445000,180.000000,top
"U6","MCP2551-I-P","DIP-8_W7.62mm",172.320000,-56.595000,180.000000,top
"U9","ESDS302DBVR","ESDS302",147.450000,-86.400000,90.000000,top
"Y2","8 MHz","XTAL_HC49P488W43L1150T466H350",155.850000,-71.810000,90.000000,top
